Date,Open,High,Low,Adj Close,Volume,Open.1,High.1,Low.1,Adj Close.1,Volume.1,Original Price
2017-08-23,19547.050781,19561.320313,19408.470703,19434.640625,78500000.0,19509.529297,19561.320313,19351.919922,19452.609375,370400000.0,19452.609375
2017-08-24,19366.359375,19428.550781,19351.919922,19353.769531,75400000.0,19509.529297,19561.320313,19351.919922,19452.609375,370400000.0,19452.609375
2017-08-25,19401.119141,19485.970703,19384.369141,19452.609375,70700000.0,19509.529297,19561.320313,19351.919922,19452.609375,370400000.0,19452.609375
2017-08-28,19502.230469,19535.5,19420.5,19449.900391,69500000.0,19502.230469,19735.960938,19280.019531,19691.470703,413600000.0,19691.470703
2017-08-29,19319.109375,19371.900391,19280.019531,19362.550781,75000000.0,19502.230469,19735.960938,19280.019531,19691.470703,413600000.0,19691.470703
2017-08-30,19480.980469,19538.230469,19435.099609,19506.539063,91800000.0,19502.230469,19735.960938,19280.019531,19691.470703,413600000.0,19691.470703
2017-08-31,19591.320313,19687.990234,19583.109375,19646.240234,97900000.0,19502.230469,19735.960938,19280.019531,19691.470703,413600000.0,19691.470703
2017-09-01,19733.570313,19735.960938,19620.070313,19691.470703,79400000.0,19502.230469,19735.960938,19280.019531,19691.470703,413600000.0,19691.470703
2017-09-04,19615.960938,19628.400391,19479.400391,19508.25,71700000.0,19615.960938,19628.400391,19239.519531,19274.820313,426300000.0,19274.820313
2017-09-05,19533.380859,19542.779297,19354.589844,19385.810547,77600000.0,19615.960938,19628.400391,19239.519531,19274.820313,426300000.0,19274.820313
2017-09-06,19286.060547,19371.380859,19254.669922,19357.970703,88500000.0,19615.960938,19628.400391,19239.519531,19274.820313,426300000.0,19274.820313
2017-09-07,19433.439453,19482.720703,19365.75,19396.519531,81900000.0,19615.960938,19628.400391,19239.519531,19274.820313,426300000.0,19274.820313
2017-09-08,19297.960938,19357.490234,19239.519531,19274.820313,106600000.0,19615.960938,19628.400391,19239.519531,19274.820313,426300000.0,19274.820313
2017-09-11,19441.390625,19567.029297,19437.140625,19545.769531,78700000.0,19441.390625,19933.400391,19437.140625,19909.5,458700000.0,19909.5
2017-09-12,19736.140625,19792.060547,19718.800781,19776.619141,89900000.0,19441.390625,19933.400391,19437.140625,19909.5,458700000.0,19909.5
2017-09-13,19873.689453,19888.839844,19845.019531,19865.820313,84500000.0,19441.390625,19933.400391,19437.140625,19909.5,458700000.0,19909.5
2017-09-14,19860.369141,19918.390625,19793.849609,19807.439453,93700000.0,19441.390625,19933.400391,19437.140625,19909.5,458700000.0,19909.5
2017-09-15,19793.800781,19933.400391,19787.650391,19909.5,111900000.0,19441.390625,19933.400391,19437.140625,19909.5,458700000.0,19909.5
2017-09-19,20128.179688,20320.779297,20122.0,20299.380859,120900000.0,20128.179688,20481.269531,20122.0,20296.449219,432600000.0,20296.449219
2017-09-20,20301.330078,20339.369141,20272.820313,20310.460938,100400000.0,20128.179688,20481.269531,20122.0,20296.449219,432600000.0,20296.449219
2017-09-21,20456.5,20481.269531,20332.689453,20347.480469,115900000.0,20128.179688,20481.269531,20122.0,20296.449219,432600000.0,20296.449219
2017-09-22,20413.609375,20417.070313,20249.240234,20296.449219,95400000.0,20128.179688,20481.269531,20122.0,20296.449219,432600000.0,20296.449219
2017-09-25,20439.429688,20454.289063,20367.029297,20397.580078,82800000.0,20439.429688,20454.289063,20213.660156,20356.279297,410500000.0,20356.279297
2017-09-26,20349.259766,20385.5,20303.980469,20330.189453,95000000.0,20439.429688,20454.289063,20213.660156,20356.279297,410500000.0,20356.279297
2017-09-27,20269.820313,20278.089844,20213.660156,20267.050781,63600000.0,20439.429688,20454.289063,20213.660156,20356.279297,410500000.0,20356.279297
2017-09-28,20398.630859,20399.869141,20299.679688,20363.109375,84000000.0,20439.429688,20454.289063,20213.660156,20356.279297,410500000.0,20356.279297
2017-09-29,20315.339844,20370.330078,20285.060547,20356.279297,85100000.0,20439.429688,20454.289063,20213.660156,20356.279297,410500000.0,20356.279297
2017-10-02,20400.509766,20411.330078,20363.279297,20400.779297,67600000.0,20400.509766,20721.150391,20363.279297,20690.710938,347100000.0,20690.710938
2017-10-03,20475.25,20628.380859,20438.169922,20614.070313,72800000.0,20400.509766,20721.150391,20363.279297,20690.710938,347100000.0,20690.710938
2017-10-04,20660.810547,20689.080078,20592.179688,20626.660156,73500000.0,20400.509766,20721.150391,20363.279297,20690.710938,347100000.0,20690.710938
2017-10-05,20650.710938,20667.470703,20602.259766,20628.560547,57300000.0,20400.509766,20721.150391,20363.279297,20690.710938,347100000.0,20690.710938
2017-10-06,20716.849609,20721.150391,20659.150391,20690.710938,75900000.0,20400.509766,20721.150391,20363.279297,20690.710938,347100000.0,20690.710938
2017-10-10,20680.539063,20823.660156,20663.080078,20823.509766,78300000.0,20680.539063,21211.289063,20663.080078,21155.179688,349400000.0,21155.179688
2017-10-11,20803.710938,20898.410156,20788.119141,20881.269531,80200000.0,20680.539063,21211.289063,20663.080078,21155.179688,349400000.0,21155.179688
2017-10-12,20958.179688,20994.400391,20917.039063,20954.720703,80400000.0,20680.539063,21211.289063,20663.080078,21155.179688,349400000.0,21155.179688
2017-10-13,20959.660156,21211.289063,20933.0,21155.179688,110500000.0,20680.539063,21211.289063,20663.080078,21155.179688,349400000.0,21155.179688
2017-10-16,21221.269531,21347.070313,21187.929688,21255.560547,102300000.0,21221.269531,21503.849609,21187.929688,21457.640625,437700000.0,21457.640625
2017-10-17,21352.169922,21393.960938,21230.669922,21336.119141,92400000.0,21221.269531,21503.849609,21187.929688,21457.640625,437700000.0,21457.640625
2017-10-18,21374.660156,21402.759766,21317.669922,21363.050781,72700000.0,21221.269531,21503.849609,21187.929688,21457.640625,437700000.0,21457.640625
2017-10-19,21450.039063,21503.849609,21381.519531,21448.519531,84600000.0,21221.269531,21503.849609,21187.929688,21457.640625,437700000.0,21457.640625
2017-10-20,21390.949219,21489.259766,21363.099609,21457.640625,85700000.0,21221.269531,21503.849609,21187.929688,21457.640625,437700000.0,21457.640625
2017-10-23,21709.300781,21723.599609,21614.509766,21696.650391,87400000.0,21709.300781,22016.5,21614.509766,22008.449219,500600000.0,22008.449219
2017-10-24,21670.0,21805.169922,21646.519531,21805.169922,88200000.0,21709.300781,22016.5,21614.509766,22008.449219,500600000.0,22008.449219
2017-10-25,21900.130859,21921.359375,21648.349609,21707.619141,122000000.0,21709.300781,22016.5,21614.509766,22008.449219,500600000.0,22008.449219
2017-10-26,21698.949219,21793.619141,21688.560547,21739.779297,82600000.0,21709.300781,22016.5,21614.509766,22008.449219,500600000.0,22008.449219
2017-10-27,21903.269531,22016.5,21815.720703,22008.449219,120400000.0,21709.300781,22016.5,21614.509766,22008.449219,500600000.0,22008.449219
2017-10-30,22047.949219,22086.880859,21921.240234,22011.669922,135600000.0,22047.949219,22540.25,21840.070313,22539.119141,456300000.0,22539.119141
2017-10-31,21897.289063,22020.380859,21840.070313,22011.609375,102400000.0,22047.949219,22540.25,21840.070313,22539.119141,456300000.0,22539.119141
2017-11-01,22144.919922,22455.919922,22130.029297,22420.080078,112600000.0,22047.949219,22540.25,21840.070313,22539.119141,456300000.0,22539.119141
2017-11-02,22512.179688,22540.25,22400.009766,22539.119141,105700000.0,22047.949219,22540.25,21840.070313,22539.119141,456300000.0,22539.119141
2017-11-06,22612.960938,22644.679688,22435.339844,22548.349609,111900000.0,22612.960938,23382.150391,22435.339844,22681.419922,586900000.0,22681.419922
2017-11-07,22518.75,22953.179688,22512.910156,22937.599609,107800000.0,22612.960938,23382.150391,22435.339844,22681.419922,586900000.0,22681.419922
